County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
BRONX,750994,Store,JAC,CA FOOD MART INC,CA FOOD MART,3706,3RD AVENUE,,,BRONX,NY,10456,0,POINT (-73.903143068 40.835323772)
BRONX,608900,Store,JAC,1307 CORP,1307 CORP,1307,CROSBY AVE,,,BRONX,NY,10461,600,POINT (-73.82918325 40.838483414)
BRONX,607918,Store,JAC,GNP SUNIL CORP,GNP SUNIL,585,W 235TH ST,,,BRONX,NY,10463,1500,POINT (-73.911162035 40.885983701)
BRONX,746827,Store,JAC,BRONX BAZAR INC,BRONX BAZAR,2550,BOSTON RD,,,BRONX,NY,10467,0,POINT (-73.863887262 40.8642032)
CHAUTAUQUA,060363,Store,JAC,TOPS PT LLC,TOPS 754,20,CENTER ST,,,FREWSBURG,NY,14738,7500,POINT (-79.161084946 42.05343458)
ERIE,757567,Store,JAC,1733 INC,MAY STORE,1733,GENESEE ST,,,BUFFALO,NY,14211,1700,POINT (-78.817032317 42.911265256)
ERIE,717073,Store,JAC,JOMOW INTERNATIONAL MARKET INC,JOMOW INTERNATIONAL MARKET,188,GRANT ST,,,BUFFALO,NY,14213,0,POINT (-78.890797318 42.919163179)
ERIE,147650,Store,JACH,PARKSIDE CANDY CO INC,PARKSIDE CANDY,3208,MAIN ST,,,BUFFALO,NY,14214,25000,POINT (-78.826019121 42.951608018)
ERIE,145558,Store,JABC,WEGMANS FOOD MARKETS INC,WEGMANS 80,651,DICK RD,,,DEPEW,NY,14043,115000,POINT (-78.736656214 42.920883649)
FULTON,175006,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP 143,47,2ND AVE,,,BROADALBIN,NY,12025,3200,POINT (-74.198097966 43.052557019)
JEFFERSON,220099,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP 399,10546,NYS RT 11,,,ADAMS,NY,13605,0,POINT (-76.02260638 43.820615457)
KINGS,749362,Store,JAC,25 ELM INC,25 ELM,25,ELM PLACE,,,BROOKLYN,NY,11201,0,POINT (-73.984266563 40.689580078)
KINGS,751179,Store,JAC,OCEAN FRESH FISH INC,OCEAN FRESH,744,BEDFORD AVE,,,BROOKLYN,NY,11205,500,POINT (-73.95704122 40.69830128)
KINGS,615198,Store,JAC,FERNANDEZ MARILYN,J&F MINI MARKET,2980,FULTON ST,,,BROOKLYN,NY,11208,1000,POINT (-73.884774881 40.679810383)
KINGS,734408,Store,A,H & H DELI CORP,H & H DELI,216,UTICA AVE,,,BROOKLYN,NY,11213,400,POINT (-73.931026307 40.671299566)
KINGS,615238,Store,JAC,KIM DOK KOO,KD FOOD MARKET,8502,21ST AVE,,,BROOKLYN,NY,11214,1200,POINT (-73.995654133 40.603873818)
KINGS,619599,Store,JAC,77 MEAT CORP,KEY FOOD,367,NOSTRAND AVE,,,BROOKLYN,NY,11216,4500,POINT (-73.950485063 40.685667741)
KINGS,710023,Store,JAC,ALYAANS CORP,ALYAANS,727,FULTON ST,,,BROOKLYN,NY,11217,500,POINT (-73.975362216 40.686830227)
KINGS,729960,Store,A,MIRACLE STAR INC,MIRACLE STAR,4421,8TH AVE,,,BROOKLYN,NY,11220,1000,POINT (-74.000537346 40.643975148)
KINGS,743494,Store,JAC,1291 FOOD CORP,FOOD TOWN,1291,BROADWAY,,,BROOKLYN,NY,11221,15000,POINT (-73.924207964 40.690882877)
KINGS,616506,Store,JAC,288 SAMS DELI INC,SAMS DELI,288,AVENUE U,,,BROOKLYN,NY,11223,1500,POINT (-73.973462542 40.596833313)
KINGS,738981,Store,JAC,812 CORP,DSK,812,FRANKLIN AVE,,,BROOKLYN,NY,11225,700,POINT (-73.958334212 40.670090644)
KINGS,615610,Store,JAC,Y&Y FARM CORP,Y&Y FARM,1572,BATH AVE,,,BROOKLYN,NY,11228,2000,POINT (-74.011052527 40.60669018)
KINGS,614413,Store,JAC,KLEINS OH NUTS INC,OH NUTS,1503,AVENUE J,,,BROOKLYN,NY,11230,1000,POINT (-73.961209373 40.625334089)
KINGS,758220,Store,JAC,OCH DELI CORP,OCH DELI,231,ROCKAWAY AVE,,,BROOKLYN,NY,11233,0,POINT (-73.910940501 40.674629277)
KINGS,742115,Store,JAC,EAT HAPPIER LLC,SANGS,154,SCOTT AVE,,,BROOKLYN,NY,11237,0,POINT (-73.923516205 40.711973799)
MONROE,260480,Store,JAC,A&R DHALIWAL INC,APLUS,2075,E RIDGE RD,,,ROCHESTER,NY,14622,1200,POINT (-77.562127447 43.203164648)
NASSAU,750215,Store,JAC,NARAYAN 206 INC,7-ELEVEN STORE #29779D,206,GLEN COVE AVE,,,GLEN COVE,NY,11542,0,POINT (-73.634895847 40.848743953)
NASSAU,282605,Store,JAC,GB DELI INC,GB DELI,914,JERICHO TPKE,,,NEW HYDE PARK,NY,11040,3600,POINT (-73.685672914 40.732276654)
NEW YORK,757693,Store,JAC,YI 86 CORP,YI 86,524,COLUMBUS AVENUE,,,NEW YORK,NY,10024,0,POINT (-73.972681935 40.786114666)
NEW YORK,757176,Store,JAC,JS SUSHI NY INC,JS SUSHI,235,E 106TH ST,,,NEW YORK,NY,10029,300,POINT (-73.942955851 40.791026797)
NEW YORK,628656,Store,A,CITY FUELS LLC,BP,4353,BROADWAY,,,NEW YORK,NY,10033,2300,POINT (-73.934432461 40.853538569)
NEW YORK,728449,Store,JAC,3867 INC,3867 INC,3867,10TH AVENUE,,,NEW YORK,NY,10034,1800,POINT (-73.918965163 40.86432947)
NEW YORK,718990,Store,A,DYCKMAN NUTRITIONAL CORP,NEW LIFE,200-9,DYCKMAN ST,,,NEW YORK,NY,10040,0,POINT (-73.927114976 40.864953003)
NEW YORK,629877,Store,JAC,NAMDOR INC,GRISTEDES 40,315-321,S END AVE,,,NEW YORK,NY,10280,1000,POINT (-74.016363218 40.710612871)
NIAGARA,290561,Store,JAC,KHABRA INC,KHABRA,274,WALNUT ST,,,LOCKPORT,NY,14094,1500,POINT (-78.685576394 43.17003044)
NIAGARA,751467,Store,JAC,SPEEDWAY LLC,SPEEDWAY #1615,7001,PACKARD RD,,,NIAGARA FALLS,NY,14304,0,POINT (-78.98524871 43.108720716)
ONEIDA,706796,Store,A,MOORE CRAIG A,VERNON FARM SUPPLY,6103,RT 5,,,VERNON,NY,13476,0,POINT (-75.483434822 43.072715957)
ONEIDA,300380,Store,A,ALDI INC,ALDI 36,315,ORISKANY BLVD,,,YORKVILLE,NY,13495,4000,POINT (-75.276328975 43.112871979)
ORANGE,704959,Store,JAC,QUICKCHEK CORPORATION,QUICK CHEK #67,79,MATTHEWS ST,,,GOSHEN,NY,10924,0,POINT (-74.3313916 41.393806753)
ORANGE,330648,Store,JAC,284 CJS DELI INC,CJS DELI,875,RT 284,,,WESTTOWN,NY,10998,850,POINT (-74.534210858 41.341394168)
PUTNAM,370026,Store,JAC,PANINO INC,PANINO ITALIAN DELI,2011,RT 22,,,BREWSTER,NY,10509,2400,POINT (-73.576946554 41.448454373)
QUEENS,728576,Store,JAC,FRANCOS DELI CORP,FRANCOS DELI,47-17,104TH STREET FLOOR1,,,CORONA,NY,11368,1500,POINT (-73.859189457 40.745274388)
QUEENS,735535,Store,JAC,JEP DELI GROCERY CORP,JEP DELI GROCERY,102-01,44TH AVENUE,,,CORONA,NY,11368,1500,POINT (-73.862390841 40.746755931)
QUEENS,721910,Store,JAC,N & S 191 FOOD CORP,N & S 191 FOOD,190-34,JAMAICA AVE,,,HOLLIS,NY,11423,1000,POINT (-73.768634309 40.712340675)
QUEENS,752762,Store,A,ALDI INC,ALDI #119,92-33,168TH ST,,,JAMAICA,NY,11433,3500,POINT (-73.791745395 40.705367895)
QUEENS,718870,Store,JAC,7 BAGELS CORP,7 BAGELS,85-15,MAIN STREET,,,JAMAICA,NY,11435,0,POINT (-73.818948108 40.709609683)
QUEENS,672058,Store,JAC,SC & IT INC,BP GAS,97-44,SUTPHIN BLVD,,,JAMAICA,NY,11435,500,POINT (-73.804912946 40.696208696)
QUEENS,730142,Store,JAC,GAH INC,GAH,6-07,WOODWARD AVE,,,RIDGEWOOD,NY,11385,700,POINT (-73.907646234 40.706123552)
QUEENS,740041,Store,JAC,A 101 HALAL DELI INC,A 101 HALAL DELI,11719,101ST AVE,,,SOUTH RICHMOND HILL,NY,11419,0,POINT (-73.827060616 40.689801569)
SARATOGA,410003,Store,JAC,PARILLO FRANK J&JAMES F,SCOTTYS STORE,215,BALLARD RD,,,GANSEVOORT,NY,12831,1500,POINT (-73.715954949 43.170949807)
SUFFOLK,756776,Store,A,MAZI PANDA LLC,BARN,686,W MONTAUK HIGHWAY,,,LINDENHURST,NY,11757,0,POINT (-73.38113694 40.671653871)
SUFFOLK,732231,Store,JAC,MONTAUK IGA LLC,MONTAUK IGA,654,MONTAUK HIGHWAY,,,MONTAUK,NY,11954,0,POINT (-71.948775776 41.031775172)
SULLIVAN,749090,Store,JAC,LATINOS SUPER MARKET CORP,LATINOS SUPERMARKET,59,N. MAIN ST,,,LIBERTY,NY,12754,3000,POINT (-74.746267979 41.800451936)
TOMPKINS,500063,Store,JABCH,WEGMANS FOOD MARKETS INC,WEGMANS 71,500,S MEADOW ST,,,ITHACA,NY,14850,125000,POINT (-76.510575366 42.435660596)
WESTCHESTER,551249,Store,A,CVS ALBANY LLC,CVS 02579,7-11,E MAIN ST,,,ELMSFORD,NY,10523,12000,POINT (-73.819528303 41.055000127)
WESTCHESTER,752122,Store,A,CAPTAIN MERRITTS LLC,HAMLET,23,SOUTH MOGER AVE,,,MOUNT KISCO,NY,10549,1800,POINT (-73.728450375 41.207513759)
NIAGARA,290467,Store,JAC,REID STORES INC,CROSBYS 40015,4531,LAKE AVE,,,LOCKPORT,NY,14094,4000,POINT (-78.67527428 43.188824636)
BRONX,609116,Store,JAC,LUPITAS MEXICAN GROCERY INC,LUPITAS MEXICAN GROCERY,9,E GUN HILL ROAD,,,BRONX,NY,10467,1000,POINT (-73.880816947 40.882658097)
KINGS,743706,Store,JAC,GOURMET KOSHER MARKET INC,CHALOUH GOURMET MARKET,718,AVENUE U,,,BROOKLYN,NY,11223,1500,POINT (-73.963491178 40.597937)
BRONX,727729,Store,JAC,SANTI'S DELI GROCERY CORP,SANTI'S DELI GROCERY,1190,CROMWELL AVE,,,BRONX,NY,10452,0,POINT (-73.922345337 40.835741777)
NEW YORK,728172,Store,A,NASSAU GROCERY INC,NASSAU GROCERY,59,NASSAU STREET,,,NEW YORK,NY,10038,1200,POINT (-74.008798047 40.709261163)
SUFFOLK,734796,Store,JAC,ASI ES MI PERU GROCERY & DELI CORP,ASI ES MI PERU GROCERY & DELI,126,WEST SUFFOLK AVE,,,CENTRAL ISLIP,NY,11722,1500,POINT (-73.217980737 40.787194926)
WESTCHESTER,551626,Store,A,CVS ALBANY LLC,CVS PHARMACY 00106,114,PONDFIELD RD,,,BRONXVILLE,NY,10708,6500,POINT (-73.832732617 40.938965663)
QUEENS,731492,Store,JAC,37 MEAT CORP,COMPARE & SAVE,99-14,37TH AVENUE,,,CORONA,NY,11368,3000,POINT (-73.867589633 40.752325789)
SARATOGA,415555,Store,A,ECKERD CORP,RITE AID 10722,3027,ROUTE 50,,,SARATOGA SPRINGS,NY,12866,30000,POINT (-73.745238741 43.100675304)
QUEENS,710540,Store,JAC,LISA DELI AND GROCERY INC,LISA DELI AND GROCERY,73-20,FOREST AVE,,,RIDGEWOOD,NY,11385,800,POINT (-73.898258346 40.69922681)
QUEENS,632990,Store,JAC,TRIDEV CORP,TRIDEV,35-04,BELL BLVD,,,BAYSIDE,NY,11361,600,POINT (-73.774056227 40.768679427)
BRONX,731384,Store,A,A-Z HAVEN MARKET INC,A-Z HAVEN MARKET,784,E 152ND STREET,,,BRONX,NY,10455,0,POINT (-73.906089055 40.815509791)
ALBANY,010573,Store,A,HICKORY FARMS LLC,HICKORY FARMS #11311,131,COLONIE CENTER SPACE 407,,,ALBANY,NY,12205,1000,POINT (-73.818267662 42.709949273)
MONROE,266265,Store,JAC,CFM 33-054 NORTON INC,CONVENIENT FOOD MART,1430,N CLINTON AVE,,,ROCHESTER,NY,14621,3000,POINT (-77.613498456 43.186073151)
QUEENS,754064,Store,JAC,48 BROADWAY SUPERMARKET INC,FOOD IS LOVE,48-18,BROADWAY,,,ASTORIA,NY,11103,5000,POINT (-73.912158308 40.755523611)
WESTCHESTER,740692,Store,JAC,DELI BROTHERS CORP,DELI BROTHERS,1401,MAIN ST,,,PEEKSKILL,NY,10566,800,POINT (-73.911428411 41.292359993)
WESTCHESTER,722568,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #06326,100,MAMARONECK AVE,,,WHITE PLAINS,NY,10601,5000,POINT (-73.765998619 41.030335161)
OSWEGO,739751,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #07981,904,W 1ST ST S,,,FULTON,NY,13069,0,POINT (-76.408397116 43.303051076)
ESSEX,155011,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP 148,416,MONTCALM ST,,,TICONDEROGA,NY,12883,2950,POINT (-73.422663741 43.848758647)
JEFFERSON,750228,Store,JAC,CARTHAGE MARKET CORP,CARTHAGE MARKET,120,RIVERSIDE DR.,,,CARTHAGE,NY,13619,0,POINT (-75.612295016 43.977084921)
KINGS,617468,Store,A,86 B'KLYN GROCERY INC,86 B'KLYN GROCERY,2377,86TH ST,,,BROOKLYN,NY,11214,1500,POINT (-73.989500307 40.599556216)
GREENE,754684,Store,A,NOTCH MARKET INC,ELEVATED MARKET,7261,ROUTE 23A,,,HUNTER,NY,12442,0,POINT (-74.189740789 42.19962922)
RICHMOND,641607,Store,JAC,TNS SUPRETTE CORP,TNS SUPRETTE,3304,AMBOY RD,,,STATEN ISLAND,NY,10306,2000,POINT (-74.13479909 40.5602668)
SCHOHARIE,430072,Store,JAC,WELLINGTON FREDERICK&CAROLYN,WELLINGTONS HERBS&SPCS,649,RICKARD HILL RD,,,SCHOHARIE,NY,12157,1600,POINT (-74.258616983 42.659493998)
