"prod_id","loja_id","forma_pgmt_id","cliente_id","quantidade","imposto_5_percent","total","data_venda","hora","cogs","renda_bruta","margem_bruta_percent"
838,2,1,11,6,"8.77","184.09","2019-01-01","11:40:00","175.32","8.77","4.76"
697,1,1,9,4,"5.41","113.57","2019-01-01","20:26:00","108.16","5.41","4.76"
18,1,3,27,6,"21.78","457.44","2019-01-01","10:39:00","435.66","21.78","4.76"
828,1,3,24,10,"37.11","779.31","2019-01-01","14:42:00","742.20","37.11","4.76"
524,2,2,5,2,"6.29","132.03","2019-01-01","11:43:00","125.74","6.29","4.76"
485,2,3,11,10,"18.49","388.29","2019-01-01","19:48:00","369.80","18.49","4.76"
497,2,2,13,2,"6.32","132.76","2019-01-01","15:51:00","126.44","6.32","4.76"
697,1,1,9,4,"5.41","113.57","2019-01-01","20:26:00","108.16","5.41","4.76"
524,2,2,5,2,"6.29","132.03","2019-01-01","11:43:00","125.74","6.29","4.76"
485,2,3,11,10,"18.49","388.29","2019-01-01","19:48:00","369.80","18.49","4.76"
964,3,3,15,10,"42.32","888.62","2019-01-01","11:36:00","846.30","42.32","4.76"
497,2,2,13,2,"6.32","132.76","2019-01-01","15:51:00","126.44","6.32","4.76"
451,3,2,8,6,"22.41","470.67","2019-01-01","19:07:00","448.26","22.41","4.76"
568,1,2,13,9,"29.58","621.24","2019-01-01","13:55:00","591.66","29.58","4.76"
964,3,3,15,10,"42.32","888.62","2019-01-01","11:36:00","846.30","42.32","4.76"
18,1,3,27,6,"21.78","457.44","2019-01-01","10:39:00","435.66","21.78","4.76"
246,1,2,25,8,"19.04","399.76","2019-01-01","14:47:00","380.72","19.04","4.76"
18,1,3,27,6,"21.78","457.44","2019-01-01","10:39:00","435.66","21.78","4.76"
246,1,2,25,8,"19.04","399.76","2019-01-01","14:47:00","380.72","19.04","4.76"
828,1,3,24,10,"37.11","779.31","2019-01-01","14:42:00","742.20","37.11","4.76"
855,3,2,6,8,"8.45","177.41","2019-01-01","19:31:00","168.96","8.45","4.76"
568,1,2,13,9,"29.58","621.24","2019-01-01","13:55:00","591.66","29.58","4.76"
838,2,1,11,6,"8.77","184.09","2019-01-01","11:40:00","175.32","8.77","4.76"
451,3,2,8,6,"22.41","470.67","2019-01-01","19:07:00","448.26","22.41","4.76"
855,3,2,6,8,"8.45","177.41","2019-01-01","19:31:00","168.96","8.45","4.76"
426,3,2,23,9,"18.27","383.76","2019-01-02","13:40:00","365.49","18.27","4.76"
89,1,2,5,1,"2.12","44.59","2019-01-02","16:57:00","42.47","2.12","4.76"
301,2,3,16,2,"9.98","209.62","2019-01-02","18:09:00","199.64","9.98","4.76"
745,2,3,24,8,"12.67","266.03","2019-01-02","16:19:00","253.36","12.67","4.76"
745,2,3,24,8,"12.67","266.03","2019-01-02","16:19:00","253.36","12.67","4.76"
411,3,2,14,10,"17.11","359.21","2019-01-02","13:00:00","342.10","17.11","4.76"
836,3,3,3,6,"13.39","281.17","2019-01-02","20:08:00","267.78","13.39","4.76"
426,3,2,23,9,"18.27","383.76","2019-01-02","13:40:00","365.49","18.27","4.76"
89,1,2,5,1,"2.12","44.59","2019-01-02","16:57:00","42.47","2.12","4.76"
836,3,3,3,6,"13.39","281.17","2019-01-02","20:08:00","267.78","13.39","4.76"
559,1,1,23,6,"12.50","262.46","2019-01-02","15:24:00","249.96","12.50","4.76"
452,3,2,20,6,"6.60","138.66","2019-01-02","18:50:00","132.06","6.60","4.76"
89,1,2,5,1,"2.12","44.59","2019-01-02","16:57:00","42.47","2.12","4.76"
452,3,2,20,6,"6.60","138.66","2019-01-02","18:50:00","132.06","6.60","4.76"
301,2,3,16,2,"9.98","209.62","2019-01-02","18:09:00","199.64","9.98","4.76"
411,3,2,14,10,"17.11","359.21","2019-01-02","13:00:00","342.10","17.11","4.76"
559,1,1,23,6,"12.50","262.46","2019-01-02","15:24:00","249.96","12.50","4.76"
206,1,1,8,9,"10.36","217.63","2019-01-03","12:02:00","207.27","10.36","4.76"
